dataset,condition,synth_type,embedder,moment_order,ipc,classifier,num_runs,test_acc_mean,test_acc_std,synth_time_mean
adult,random_low,tame_orders,ln_res_l,5,50,mlp,3,0.7612938446840453,0.007274178367600821,49.52764288584391
adult,random_low,tame_orders,ln_res_l,5,50,rf,3,0.6874573495291387,0.015104912591232885,49.52764288584391
adult,random_high,tame_orders,ln_res_l,4,50,mlp,3,0.7526955097584277,0.018114888987820918,54.25556675593058
adult,random_high,tame_orders,ln_res_l,4,50,rf,3,0.6263136345025249,0.22028405514690727,54.25556675593058
adult,learned_low,tame_learned,ln_res_l,5,50,mlp,3,0.42832446203539426,0.1789594844839887,293.5438196659088
adult,learned_low,tame_learned,ln_res_l,5,50,rf,3,0.4341931668258951,0.23235188107865243,293.5438196659088
adult,learned_high,tame_learned,ln_res_l,4,50,mlp,3,0.6520176516082071,0.05868919912447354,296.34052991867065
adult,learned_high,tame_learned,ln_res_l,4,50,rf,3,0.7511032255129431,0.08881946437860591,296.34052991867065
electricity,random_low,tame_orders,ln_res_l,5,50,mlp,3,0.7476828012358393,0.0037005834887771,53.612425565719604
electricity,random_low,tame_orders,ln_res_l,5,50,rf,3,0.7560198126624491,0.0037031822134574914,53.612425565719604
electricity,random_high,tame_orders,ln_res_l,4,50,mlp,3,0.7258594477955961,0.01721298751156809,54.809845606486
electricity,random_high,tame_orders,ln_res_l,4,50,rf,3,0.6473934578980923,0.09061056919586594,54.809845606486
electricity,learned_low,tame_learned,ln_res_l,5,50,mlp,3,0.5225344514736894,0.12670518790236207,272.1232154369354
electricity,learned_low,tame_learned,ln_res_l,5,50,rf,3,0.576725025746653,0.13795342818194217,272.1232154369354
electricity,learned_high,tame_learned,ln_res_l,4,50,mlp,3,0.6363101368250699,0.0367874056390586,275.10665464401245
electricity,learned_high,tame_learned,ln_res_l,4,50,rf,3,0.7016821146584279,0.04432737073888221,275.10665464401245
madelon,random_low,tame_orders,ln_res_l,5,50,mlp,3,0.5222222222222221,0.013296024945388079,54.38442897796631
madelon,random_low,tame_orders,ln_res_l,5,50,rf,3,0.5393162393162393,0.03272511063090028,54.38442897796631
madelon,random_high,tame_orders,ln_res_l,4,50,mlp,3,0.5136752136752136,0.01899667587255799,55.602386156717934
madelon,random_high,tame_orders,ln_res_l,4,50,rf,3,0.5111111111111111,0.006729921259839182,55.602386156717934
madelon,learned_low,tame_learned,ln_res_l,5,50,mlp,3,0.5136752136752136,0.027879498171453153,40.88313595453898
madelon,learned_low,tame_learned,ln_res_l,5,50,rf,3,0.5393162393162393,0.008461106783428785,40.88313595453898
madelon,learned_high,tame_learned,ln_res_l,4,50,mlp,3,0.5367521367521367,0.02970623452475685,42.79373081525167
madelon,learned_high,tame_learned,ln_res_l,4,50,rf,3,0.5051282051282051,0.03459163477751807,42.79373081525167
magic,random_low,tame_orders,ln_res_l,5,50,mlp,3,0.788994041359972,0.0012474679579426897,52.81913844744364
magic,random_low,tame_orders,ln_res_l,5,50,rf,3,0.7899287299918215,0.005462633357897411,52.81913844744364
magic,random_high,tame_orders,ln_res_l,4,50,mlp,3,0.6232036452856642,0.13236811038302576,54.416866858800255
magic,random_high,tame_orders,ln_res_l,4,50,rf,3,0.6892160299100363,0.058472459755363256,54.416866858800255
magic,learned_low,tame_learned,ln_res_l,5,50,mlp,3,0.5813763290103984,0.14557315966078854,126.7975967725118
magic,learned_low,tame_learned,ln_res_l,5,50,rf,3,0.6998481130973245,0.03511191467051205,126.7975967725118
magic,learned_high,tame_learned,ln_res_l,4,50,mlp,3,0.4662927912139268,0.16250491620763774,127.71878902117412
magic,learned_high,tame_learned,ln_res_l,4,50,rf,3,0.4707325622152121,0.16828800490408824,127.71878902117412
phishing,random_low,tame_orders,ln_res_l,5,50,mlp,3,0.9264617239300783,0.0008524494046854294,51.389099756876625
phishing,random_low,tame_orders,ln_res_l,5,50,rf,3,0.9105887080570625,0.006718205142576055,51.389099756876625
phishing,random_high,tame_orders,ln_res_l,4,50,mlp,3,0.8917018284106891,0.009711107875101113,52.80234678586324
phishing,random_high,tame_orders,ln_res_l,4,50,rf,3,0.8790436005625879,0.012949875864434012,52.80234678586324
phishing,learned_low,tame_learned,ln_res_l,5,50,mlp,3,0.806509945750452,0.10156079965514615,84.64839069048564
phishing,learned_low,tame_learned,ln_res_l,5,50,rf,3,0.6475788627687361,0.16515264605937702,84.64839069048564
phishing,learned_high,tame_learned,ln_res_l,4,50,mlp,3,0.7556761101064898,0.0332576677197689,85.56899515787761
phishing,learned_high,tame_learned,ln_res_l,4,50,rf,3,0.7520594735784609,0.12505012765485404,85.56899515787761
satimage,random_low,tame_orders,ln_res_l,5,50,mlp,3,0.8583765112262522,0.003419514658587815,99.68673817316692
satimage,random_low,tame_orders,ln_res_l,5,50,rf,3,0.8842832469775476,0.007677413046940522,99.68673817316692
satimage,random_high,tame_orders,ln_res_l,4,50,mlp,3,0.7032815198618309,0.1291041814482911,103.53290971120198
satimage,random_high,tame_orders,ln_res_l,4,50,rf,3,0.6531951640759931,0.1608351879353757,103.53290971120198
satimage,learned_low,tame_learned,ln_res_l,5,50,mlp,3,0.7575129533678756,0.028655551159870278,106.25348671277364
satimage,learned_low,tame_learned,ln_res_l,5,50,rf,3,0.7288428324697755,0.028647222268207723,106.25348671277364
satimage,learned_high,tame_learned,ln_res_l,4,50,mlp,3,0.6027633851468048,0.05091682424231649,110.15113011995952
satimage,learned_high,tame_learned,ln_res_l,4,50,rf,3,0.5177892918825561,0.0712258836172451,110.15113011995952
